"Ticker","Nome","Negócios","Última (R$)","Variação"
"PETR4","Petrobras","84.865.000","46,78","-0,47%"
"B3SA3","B3","59.021.100","16,92","-1,17%"
"HAPV3","Hapvida","57.746.500","9,44","+14,98%"
"BEEF3","Minerva","53.576.100","3,84","-10,70%"
"GMAT3","Grupo Mateus","53.154.400","4,15","-14,43%"
"ENEV3","Eneva","50.116.600","25,30","+3,90%"
"CSAN3","Cosan","47.319.000","5,24","+0,96%"
"RAIZ4","Raízen","43.106.000","0,56","+1,82%"
"COGN3","Cogna","35.964.200","2,83","-0,70%"
"MBRF3","Marfrig","34.239.900","17,06","+0,18%"
"BBDC4","Banco Bradesco","33.436.700","18,64","+0,05%"
"VAMO3","Grupo Vamos","32.919.400","3,38","-2,87%"
"ITUB4","Itaú Unibanco","32.908.000","42,28","+0,69%"
"ABEV3","Ambev","30.848.100","14,77","+0,20%"
"CPLE3","Copel","29.624.700","15,47","+1,78%"
"BBAS3","Banco do Brasil","29.427.500","23,51","+0,43%"
"ITSA4","Itaúsa","28.526.200","13,32","+0,38%"
"CSNA3","Siderúrgica Nacional","27.897.500","6,09","+0,50%"
"VALE3","Vale","27.262.900","76,63","-0,65%"
"PRIO3","PetroRio","24.318.500","65,82","-0,32%"
"MGLU3","Magazine Luiza","23.104.500","8,77","-0,90%"
"PETR3","Petrobras","18.102.600","51,57","-0,12%"
"CMIG4","Cemig","16.706.500","12,19","+3,22%"
"ONCO3","Oncoclínicas","15.899.000","1,21","-12,95%"
"CVCB3","CVC","15.625.600","1,92","-0,52%"
"NATU3","NATURA","14.323.100","9,75","+4,28%"
"AXIA3","Axia Energia","14.108.800","57,82","+0,38%"
"RENT3","Localiza","14.042.700","44,42","+0,70%"
"RADL3","RaiaDrogasil","13.953.600","23,11","-0,30%"
"LREN3","Lojas Renner","13.909.900","15,15","+0,40%"
"USIM5","Usiminas","13.273.600","6,37","-1,55%"
"CMIN3","CSN Mineração","12.552.800","4,84","+0,62%"
"EQTL3","Equatorial Energia","12.194.600","41,30","+2,92%"
"ANIM3","Ânima Educação","12.019.100","3,89","-1,02%"
"MOTV3","Motiva","12.001.100","15,12","-0,20%"
"ASAI3","Assaí","11.984.500","7,73","-0,26%"
"VBBR3","Vibra Energia","11.980.800","30,13","+1,11%"
"PCAR3","Grupo Pão de Açúcar","11.962.500","2,02","-1,94%"
"BPAC11","Banco BTG Pactual","11.706.900","55,11","-0,56%"
"POMO4","Marcopolo","11.632.300","5,90","+0,68%"
"AMBP3","Ambipar","11.475.500","0,21","+5,00%"
"MRVE3","MRV","11.040.900","7,57","-0,26%"
"GGBR4","Gerdau","10.455.400","17,49","+0,58%"
"RDOR3","Rede D'Or","10.312.600","37,17","+0,41%"
"BRAV3","3R Petroleum","10.141.000","17,47","-4,33%"
"GOAU4","Metalúrgica Gerdau","9.916.000","7,90","+0,13%"
"ECOR3","EcoRodovias","9.915.300","8,58","-2,39%"
"VIVA3","Vivara","9.842.000","25,04","+1,42%"
"UGPA3","Ultrapar","9.170.500","26,78","+2,14%"
"RAIL3","Rumo","9.120.600","16,19","+0,68%"
"SUZB3","Suzano","8.891.500","51,12","-2,74%"
"CEAB3","C&A","8.356.600","11,33","+0,35%"
"RCSL4","Recrusul","7.906.100","1,21","-11,68%"
"YDUQ3","YDUQS","7.839.100","10,13","+2,32%"
"RAPT4","Randon","7.678.300","4,83","+2,33%"
"AXIA7","Axia Energia","7.359.800","55,84","+0,67%"
"RECV3","PetroRecôncavo","7.130.600","13,43","-2,26%"
"CBAV3","CBA","7.117.200","10,34","+0,49%"
"CYRE3","Cyrela","7.111.500","27,11","-0,70%"
"SMFT3","Smart Fit","6.994.400","18,65","+0,87%"
"DIRR3","Direcional","6.839.600","13,89","-0,07%"
"MOVI3","Movida","6.520.800","12,22","+2,26%"
"AZEV4","Azevedo & Travassos","6.447.200","0,16","+0,00%"
"TOTS3","Totvs","6.121.500","34,15","+1,10%"
"BBDC3","Banco Bradesco","6.082.900","16,11","+0,19%"
"CASH3","Méliuz","5.955.800","3,62","+11,73%"
"VIVT3","Vivo","5.400.300","40,83","+0,49%"
"WEGE3","WEG","5.299.300","46,59","+0,93%"
"EMBJ3","Embraer","5.290.200","75,83","-0,58%"
"PGMN3","Pague Menos","5.242.000","6,15","+0,82%"
"GRND3","Grendene","5.217.600","4,68","+2,41%"
"ENGI11","Energisa","4.938.500","51,03","+1,03%"
"AUAU3","União Pet","4.475.800","2,92","+0,69%"
"CURY3","Cury","4.447.800","34,24","-2,84%"
"KLBN11","Klabin","4.426.000","18,80","-1,05%"
"ALOS3","Allos","4.425.100","29,75","+0,07%"
"LWSA3","Locaweb","4.374.100","3,74","+1,63%"
"KLBN4","Klabin","4.343.600","3,78","-0,53%"
"BRKM5","Braskem","3.880.300","11,89","+0,00%"
"SIMH3","Simpar","3.865.200","10,74","-1,29%"
"QUAL3","Qualicorp","3.715.600","1,84","+0,00%"
"CXSE3","Caixa Seguridade","3.633.300","18,10","+0,28%"
"TIMS3","TIM","3.568.700","26,67","+1,25%"
"AZEV3","Azevedo & Travassos","3.552.700","0,21","-4,55%"
"ODPV3","Odontoprev","3.527.700","13,27","+1,30%"
"PLPL3","Plano&Plano","3.473.500","14,01","-1,34%"
"LJQQ3","Lojas Quero-Quero","3.443.900","1,90","+1,60%"
"BRAP4","Bradespar","3.412.600","21,79","-0,95%"
"AZTE3","AZT Energia","3.375.800","0,23","-4,17%"
"AURE3","Auren Energia","3.349.700","11,84","+2,25%"
"GGPS3","GPS","3.307.700","16,48","+0,18%"
"ISAE4","ISA Energia","3.171.800","28,07","+0,11%"
"JHSF3","JHSF","3.122.100","8,80","-1,12%"
"SMTO3","São Martinho","3.072.600","19,00","+4,51%"
"FLRY3","Fleury","3.061.700","15,34","+0,00%"
"AZZA3","Arezzo","3.002.600","27,50","+1,44%"
"CSMG3","COPASA","2.981.800","55,34","+2,10%"
"BHIA3","Casas Bahia","2.953.700","2,84","+0,71%"
"BBSE3","BB Seguridade","2.891.100","34,66","+0,41%"
"SLCE3","SLC Agrícola","2.832.500","18,21","+1,11%"
"DXCO3","Dexco","2.766.800","4,57","-1,08%"
"SBSP3","Sabesp","2.673.800","152,82","+3,78%"
"AXIA6","Axia Energia","2.611.000","63,06","+0,38%"
"HYPE3","Hypera","2.440.500","22,31","+0,95%"
"SANB11","Banco Santander","2.353.300","29,99","+1,15%"
"PSSA3","Porto Seguro","2.217.400","48,50","+1,78%"
"SBFG3","Grupo SBF","2.176.800","11,42","+1,15%"
"MULT3","Multiplan","2.176.700","30,77","+0,49%"
"TEND3","Construtora Tenda","2.120.200","30,23","-0,72%"
"ALPA4","Alpargatas","2.093.900","11,81","+1,03%"
"TAEE11","Taesa","2.068.800","42,13","+0,67%"
"MELK3","Melnick","2.067.200","3,59","-1,10%"
"ITUB3","Itaú Unibanco","2.027.300","41,18","+0,81%"
"NEOE3","Neoenergia","2.014.200","33,22","+0,21%"
"POSI3","Positivo","2.003.700","4,46","+2,06%"
"HBSA3","Hidrovias do Brasil","1.961.900","3,79","+1,34%"
"KEPL3","Kepler Weber","1.958.700","7,74","+0,26%"
"IGTI11","Iguatemi","1.945.400","27,18","+0,89%"
"IGTI11","Jereissati Participações","1.945.400","27,18","+0,89%"
"EZTC3","EZTEC","1.944.300","13,68","+1,26%"
"SEER3","Ser Educacional","1.930.700","10,23","-0,49%"
"FIQE3","Unifique","1.928.900","5,76","+7,66%"
"INTB3","Intelbras","1.909.600","14,36","-2,58%"
"JALL3","Jalles Machado","1.909.500","3,31","+5,08%"
"CPFE3","CPFL Energia","1.822.100","47,62","-0,75%"
"TUPY3","Tupy","1.759.900","11,50","-3,52%"
"PMAM3","Paranapanema","1.656.900","0,51","-1,92%"
"VVEO3","Viveo","1.508.000","1,31","-1,50%"
"BMGB4","Banco BMG","1.483.400","4,95","-1,39%"
"EGIE3","Engie","1.480.400","32,09","+1,55%"
"POMO3","Marcopolo","1.444.500","5,54","-0,36%"
"MYPK3","Iochpe-Maxion","1.403.800","9,10","+0,22%"
"VULC3","Vulcabras","1.362.700","16,32","-0,06%"
"JSLG3","JSL","1.272.000","6,02","-1,95%"
"BRSR6","Banrisul","1.246.300","17,15","+0,76%"
"LIGT3","Light","1.244.900","4,67","-0,64%"
"TTEN3","3tentos","1.232.800","15,28","+3,10%"
"SAPR11","Sanepar","1.214.100","42,09","+1,62%"
"BRST3","Brisanet","1.211.100","2,80","-5,72%"
"MDNE3","Moura Dubeux","1.208.000","30,90","+0,49%"
"HBOR3","Helbor","1.166.800","2,62","-0,38%"
"MDIA3","M. Dias Branco","1.037.600","21,53","-0,60%"
"AMER3","Americanas","978.800","5,05","+2,43%"
"SOJA3","Boa Safra Sementes","956.600","8,13","+0,12%"
"GFSA3","Gafisa","927.300","1,78","-3,78%"
"ARML3","Armac","909.600","4,79","-0,21%"
"FESA4","Ferbasa","908.000","7,27","+0,41%"
"SAPR4","Sanepar","899.000","8,11","+1,50%"
"MILS3","Mills","874.800","13,75","-0,51%"
"DASA3","Dasa","871.500","3,36","-1,75%"
"KLBN3","Klabin","838.300","3,77","-1,57%"
"ALUP11","Alupar","836.700","34,04","+0,80%"
"TGMA3","Tegma","782.000","27,56","-2,48%"
"PFRM3","Profarma","779.400","7,50","-5,06%"
"LAVV3","Lavvi Incorporadora","778.400","14,28","-3,77%"
"PNVL3","Dimed","765.300","14,23","-0,49%"
"EVEN3","Even","752.900","7,09","+1,43%"
"PRNR3","Priner","744.200","19,60","-1,51%"
"ORVR3","Orizon","738.400","66,25","+1,30%"
"ESPA3","Espaçolaser","723.800","1,16","-3,33%"
"CAML3","Camil Alimentos","704.400","5,74","-1,54%"
"RANI3","Irani","682.800","9,17","-0,65%"
"ROMI3","Indústrias ROMI","630.100","7,33","-2,79%"
"ABCB4","Banco ABC Brasil","596.400","25,63","-0,74%"
"USIM3","Usiminas","593.300","6,41","-1,38%"
"MTRE3","Mitre Realty","592.700","3,74","-0,53%"
"OPCT3","OceanPact","587.600","8,96","+0,11%"
"MLAS3","Multilaser","578.400","1,26","-1,56%"
"BLAU3","Blau Farmacêutica","558.800","9,80","+1,34%"
"DESK3","Desktop","555.700","14,45","+3,21%"
"SEQL3","Sequoia Logística","545.400","0,29","+0,00%"
"VITT3","Vittia","537.600","4,22","+0,00%"
"WIZC3","Wiz Soluções","526.000","8,88","-0,11%"
