ticker_yf,dias,vol_fin_medio
PETR4.SA,1243,1210975123.09
B3SA3.SA,1243,499094883.4
HAPV3.SA,1243,409380887.61
BEEF3.SA,1243,81652350.51
GMAT3.SA,1243,34957445.93
ENEV3.SA,1243,122175356.42
CSAN3.SA,1243,201455924.3
RAIZ4.SA,1149,61929944.86
COGN3.SA,1243,87962749.38
MBRF3.SA,1243,114409378.9
BBDC4.SA,1243,560890491.87
VAMO3.SA,1243,63007928.88
ITUB4.SA,1243,771721047.9
ABEV3.SA,1243,314727503.43
CPLE3.SA,1243,34169765.25
BBAS3.SA,1243,490705721.75
ITSA4.SA,1243,207866784.39
CSNA3.SA,1243,137580531.67
VALE3.SA,1243,1486093157.49
PRIO3.SA,1243,466796500.46
MGLU3.SA,1243,723354399.38
PETR3.SA,1243,343194965.66
CMIG4.SA,1243,97536101.95
ONCO3.SA,1117,23598592.46
CVCB3.SA,1243,108319470.47
AXIA3.SA,1243,318736347.01
RENT3.SA,1243,367829960.5
RADL3.SA,1243,171373675.87
LREN3.SA,1243,288283724.54
USIM5.SA,1243,132276235.61
CMIN3.SA,1243,35540326.79
EQTL3.SA,1243,219003027.41
ANIM3.SA,1243,27859194.87
ASAI3.SA,1243,181137394.79
VBBR3.SA,1243,182078418.5
PCAR3.SA,1243,104218721.31
BPAC11.SA,1243,305473188.17
POMO4.SA,1243,34385200.44
AMBP3.SA,1243,59864895.5
MRVE3.SA,1243,97695888.84
GGBR4.SA,1243,238458909.12
RDOR3.SA,1243,170605551.14
BRAV3.SA,1241,179337166.62
GOAU4.SA,1243,79642400.79
ECOR3.SA,1243,35039339.46
VIVA3.SA,1243,59098343.65
UGPA3.SA,1243,108949180.09
RAIL3.SA,1243,220756120.6
SUZB3.SA,1243,316706468.23
CEAB3.SA,1243,35481162.58
RCSL4.SA,1243,10012678.77
YDUQ3.SA,1243,62494348.08
RAPT4.SA,1243,26040725.57
RECV3.SA,1213,34490770.15
CBAV3.SA,1163,34816439.31
CYRE3.SA,1243,114346899.32
SMFT3.SA,1165,53628599.51
DIRR3.SA,1243,37640457.36
MOVI3.SA,1243,38187916.54
AZEV4.SA,1243,5464508.93
TOTS3.SA,1243,130198375.21
BBDC3.SA,1243,90050538.38
CASH3.SA,1243,47590265.05
VIVT3.SA,1243,107274384.39
WEGE3.SA,1243,284598795.94
PGMN3.SA,1243,6138968.76
GRND3.SA,1243,8922418.48
ENGI11.SA,1243,97796052.1
CURY3.SA,1243,25644176.23
KLBN11.SA,1243,96388341.45
ALOS3.SA,1241,67256382.57
LWSA3.SA,1243,67048220.96
KLBN4.SA,1243,7193246.14
BRKM5.SA,1243,91758307.89
SIMH3.SA,1243,30226868.41
QUAL3.SA,1243,29952362.44
CXSE3.SA,1216,36298925.21
TIMS3.SA,1243,92624046.13
AZEV3.SA,1243,1517525.67
ODPV3.SA,1243,16480246.31
PLPL3.SA,1243,8049663.97
LJQQ3.SA,1243,19699628.01
BRAP4.SA,1243,66454498.84
GGPS3.SA,1218,32087151.84
ISAE4.SA,1241,44787497.38
JHSF3.SA,1243,16782654.84
SMTO3.SA,1243,47524487.43
FLRY3.SA,1243,38973757.62
AZZA3.SA,1243,94353000.2
CSMG3.SA,1243,34510221.34
BHIA3.SA,1243,225760661.55
BBSE3.SA,1243,132627166.36
SLCE3.SA,1243,48737726.13
DXCO3.SA,1243,30297545.57
SBSP3.SA,1243,232808682.48
AXIA6.SA,1243,83487290.8
HYPE3.SA,1243,104591780.16
SANB11.SA,1243,65277975.36
PSSA3.SA,1243,56749382.5
SBFG3.SA,1243,29950344.63
MULT3.SA,1243,108542400.31
TEND3.SA,1243,37596472.2
ALPA4.SA,1243,54859823.62
TAEE11.SA,1243,59478147.61
MELK3.SA,1243,1221835.84
ITUB3.SA,1243,16492112.68
NEOE3.SA,1243,30445769.9
POSI3.SA,1243,17076235.17
HBSA3.SA,1243,16925693.49
KEPL3.SA,1243,11415475.89
IGTI11.SA,1076,56933091.58
IGTI11.SA,1076,56933091.58
EZTC3.SA,1243,32716370.02
SEER3.SA,1243,6556347.51
FIQE3.SA,1154,1501299.8
