ticker_b3,n_previsoes,gamma_medio,gamma_pval_medio,pct_signif_5pct,gamma_m3_medio,gamma_m3_pval_medio,pct_signif_5pct_m3,persistencia_m1,persistencia_m2,persistencia_m3,svi_zeros_pct
AALR3,95,0.2281,0.9053,9.4737,0.9304,0.9171,7.3684,0.9799,1.036,1.0302,0.6552
ABCB4,95,0.0107,0.9484,4.2105,0.0,1.0,0.0,0.9902,0.9902,0.9902,0.0
ABEV3,95,0.1203,0.8008,18.9474,1.4103,0.8179,15.7895,0.9349,0.9265,0.8654,0.0
AERI3,95,0.8963,0.6862,30.5263,10.8916,0.8105,18.9474,0.9594,0.934,0.9442,0.0153
AFLT3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9736,0.9875,0.9862,0.9847
AGRO3,95,0.0339,0.9073,9.4737,0.067,0.9689,3.1579,0.9929,0.9939,0.9926,0.0
AHEB3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.7581,0.9674,0.9666,0.9885
ALOS3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.988,0.9885,0.9885,0.5172
ALPA3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9886,0.9853,0.9853,0.954
ALPA4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.986,0.986,0.986,0.0728
ALPK3,95,0.7756,0.4845,51.5789,6.0379,0.5579,44.2105,0.9595,0.847,0.7931,0.6322
ALUP11,95,0.0048,0.95,2.1053,0.0587,0.981,1.0526,0.9906,0.9917,0.9813,0.0038
ALUP3,95,0.0697,0.0327,95.7895,0.4311,0.558,44.2105,0.573,0.4682,0.4578,0.6935
ALUP4,95,0.0179,0.8762,11.5789,0.0182,0.9488,0.0,0.9898,0.9761,0.9737,0.318
AMAR3,95,0.0586,0.9895,1.0526,0.9367,0.9895,1.0526,0.9883,0.9894,0.9809,0.0307
AMBP3,95,1.0376,0.8842,11.5789,4.9638,0.9054,9.4737,0.9531,1.005,0.9682,0.0
AMER3,95,37.4291,0.2737,72.6316,24.6931,0.7478,25.2632,0.999,0.8955,1.2049,0.0651
ANIM3,95,0.887,0.5264,47.3684,8.4305,0.6222,26.3158,0.6692,0.7369,0.6576,0.0153
ASAI3,95,0.2307,0.7791,22.1053,0.8437,0.9458,5.2632,0.9357,0.9629,0.9497,0.0
AVLL3,95,0.6058,0.8421,15.7895,0.0,1.0,0.0,0.9593,0.9501,0.9593,0.977
AXIA3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9701,0.9703,0.9703,0.9234
AXIA5,95,0.0,1.0,0.0,0.8362,0.8431,15.7303,0.9342,0.9325,0.9402,0.9923
AXIA6,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9839,0.9834,0.9834,0.9272
AZEV3,95,3.8056,0.0422,95.7895,52.2476,0.2705,69.4737,0.824,0.6841,0.6809,0.3027
AZEV4,95,6.2056,0.0105,98.9474,18.9712,0.3294,57.8947,0.8965,0.8157,0.8524,0.0268
AZZA3,95,0.7171,0.6173,37.8947,0.2823,0.9895,1.0526,0.9554,0.9645,0.9529,0.6667
B3SA3,95,0.2544,0.9158,8.4211,0.0,1.0,0.0,0.9647,0.9559,0.965,0.0
BALM4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9953,0.9953,0.9953,0.9885
BAZA3,95,0.0301,0.7748,15.7895,0.0342,0.9108,0.0,0.9471,0.965,0.9587,0.6437
BBAS3,95,0.1406,0.7285,26.3158,0.0,1.0,0.0,0.9749,0.9775,0.9749,0.0
BBDC3,95,0.0486,0.8947,10.5263,1.9563,0.9053,9.4737,0.9811,0.9371,0.9002,0.0
BBDC4,95,0.1069,0.8947,10.5263,0.8689,0.9684,3.1579,0.9899,0.9696,0.9598,0.0
BBSE3,95,0.0509,0.8421,15.7895,0.0,1.0,0.0,0.9825,0.9656,0.9823,0.0
BDLL4,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9916,0.9931,0.9931,0.9885
BEEF3,95,0.0426,0.9789,2.1053,0.0,1.0,0.0,0.997,0.9935,0.9976,0.0
BEES3,95,0.0012,0.9666,0.0,0.2483,0.5432,21.0526,0.6944,0.6947,0.6863,0.1226
BEES4,95,0.0237,0.5849,31.5789,0.0596,0.8287,0.0,0.8166,0.7075,0.8224,0.6973
BGIP3,95,0.0014,0.9895,1.0526,0.0,1.0,0.0,0.9324,0.9936,0.9995,0.9885
BGIP4,95,0.0954,0.9486,4.2105,0.7078,0.973,0.0,0.9737,0.9862,0.9739,0.9693
BHIA3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9893,0.9975,0.9974,0.4943
BIOM3,95,0.0,1.0,0.0,0.2256,0.9895,1.0526,0.9943,0.9988,0.9983,0.9004
BMEB3,95,0.0057,0.9883,1.1765,0.0202,0.9962,0.0,0.9831,0.9767,0.9769,0.9655
BMEB4,95,0.5611,0.4947,50.5263,0.4081,0.7791,22.1053,0.9929,1.0122,1.0305,0.7088
BMGB4,95,0.1952,0.8421,15.7895,3.7246,0.8421,15.7895,0.9767,0.9881,0.9523,0.0
BMIN4,95,0.1929,0.9158,8.4211,0.6106,0.9632,0.0,0.9475,0.9878,0.9719,0.9732
BMKS3,95,0.0051,0.9943,0.0,1.4001,0.5813,23.1579,0.9052,0.8999,0.9514,0.9502
BMOB3,95,0.0044,0.9895,1.0526,0.0,1.0,0.0,0.9855,0.986,0.9822,0.3448
BNBR3,95,0.0624,0.9016,7.3684,0.1746,0.9742,1.0526,0.9774,0.9772,0.9731,0.9693
BOBR4,95,0.0067,0.9895,1.0526,0.0103,0.9895,1.0526,0.9953,0.9938,0.9956,0.8238
BPAC11,95,0.4562,0.2488,72.6316,2.9942,0.8319,16.8421,0.9019,0.8816,0.7784,0.0
BPAC3,95,0.0072,0.9925,0.0,0.0,1.0,0.0,0.9937,0.994,0.9942,0.7854
BPAC5,95,0.0121,0.9487,4.2105,0.0,1.0,0.0,0.8887,0.887,0.8886,0.9425
BRAP3,95,0.0072,0.958,4.2105,0.0,1.0,0.0,0.9945,0.9914,0.9945,0.1226
BRAP4,95,0.033,0.9481,4.2105,0.0,1.0,0.0,0.9941,0.978,0.9941,0.0
BRAV3,95,0.7064,0.5935,37.9747,15.5474,0.7468,21.519,0.8186,0.793,0.7428,0.6897
BRKM3,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9926,0.9928,0.9927,0.6207
BRKM5,95,0.0,1.0,0.0,0.0,1.0,0.0,0.9734,0.9715,0.9739,0.0
BRKM6,95,0.0,1.0,0.0,0.7195,0.963,0.0,0.9764,0.8784,0.8798,0.977
BRSR3,95,0.0118,0.9372,6.3158,0.0,1.0,0.0,0.9882,0.9839,0.9903,0.7893
