ticker_b3,svi_adf_stat,svi_adf_pvalor,svi_estacionario,svi_diff_adf_stat,svi_diff_adf_pvalor,svi_diff_estacionario
AALR3,-3.6292,0.0052,True,-7.3339,0.0,True
ABCB4,-2.7472,0.0662,False,-11.5136,0.0,True
ABEV3,-6.613,0.0,True,-9.5225,0.0,True
AERI3,-2.7774,0.0616,False,-11.9553,0.0,True
AFLT3,-16.3106,0.0,True,-8.55,0.0,True
AGRO3,-1.787,0.3869,False,-12.2974,0.0,True
AHEB3,-16.2378,0.0,True,-8.4676,0.0,True
ALOS3,1.0472,0.9947,False,-6.487,0.0,True
ALPA3,-15.0557,0.0,True,-7.5657,0.0,True
ALPA4,-15.2072,0.0,True,-7.7613,0.0,True
ALPK3,-3.3763,0.0118,True,-6.9764,0.0,True
ALUP11,-2.2935,0.1741,False,-12.9088,0.0,True
ALUP3,-2.7301,0.069,False,-7.1447,0.0,True
ALUP4,-2.3197,0.1657,False,-11.8455,0.0,True
AMAR3,-2.0104,0.282,False,-14.9414,0.0,True
AMBP3,-5.166,0.0,True,-8.8872,0.0,True
AMER3,-5.8896,0.0,True,-9.6122,0.0,True
ANIM3,-2.1398,0.2288,False,-10.5267,0.0,True
ASAI3,-3.3252,0.0138,True,-11.2208,0.0,True
AVLL3,-5.8632,0.0,True,-7.9448,0.0,True
AXIA3,-1.7158,0.423,False,-3.6345,0.0051,True
AXIA5,-16.0938,0.0,True,-8.4487,0.0,True
AXIA6,-4.6448,0.0001,True,-4.862,0.0,True
AZEV3,-2.3959,0.1429,False,-5.4757,0.0,True
AZEV4,-2.5416,0.1057,False,-9.0191,0.0,True
AZZA3,-1.0827,0.7219,False,-7.7258,0.0,True
B3SA3,-5.5728,0.0,True,-14.6952,0.0,True
BALM4,-3.177,0.0214,True,-12.9635,0.0,True
BAZA3,-5.9788,0.0,True,-6.5742,0.0,True
BBAS3,-3.1033,0.0263,True,-4.0626,0.0011,True
BBDC3,-4.3296,0.0004,True,-9.5483,0.0,True
BBDC4,-7.7128,0.0,True,-8.1966,0.0,True
BBSE3,-3.8087,0.0028,True,-5.5874,0.0,True
BDLL4,-16.2472,0.0,True,-8.9629,0.0,True
BEEF3,-3.9376,0.0018,True,-8.2455,0.0,True
BEES3,-2.48,0.1204,False,-6.3049,0.0,True
BEES4,-3.9015,0.002,True,-10.4589,0.0,True
BGIP3,-16.2487,0.0,True,-8.4676,0.0,True
BGIP4,-16.4936,0.0,True,-8.7144,0.0,True
BHIA3,-2.3705,0.1502,False,-11.0368,0.0,True
BIOM3,-2.8864,0.047,True,-6.8124,0.0,True
BMEB3,-1.4789,0.5439,False,-8.923,0.0,True
BMEB4,-3.8317,0.0026,True,-7.8948,0.0,True
BMGB4,-3.2153,0.0191,True,-9.5388,0.0,True
BMIN4,-14.731,0.0,True,-8.7572,0.0,True
BMKS3,-15.7429,0.0,True,-7.7921,0.0,True
BMOB3,-3.0735,0.0286,True,-9.9346,0.0,True
BNBR3,-13.2079,0.0,True,-7.966,0.0,True
BOBR4,-2.8326,0.0538,False,-8.871,0.0,True
BPAC11,-2.9271,0.0423,True,-6.7976,0.0,True
BPAC3,-3.3345,0.0134,True,-7.7039,0.0,True
BPAC5,-15.6055,0.0,True,-8.4991,0.0,True
BRAP3,-3.4152,0.0105,True,-5.2952,0.0,True
BRAP4,-3.4637,0.009,True,-11.4081,0.0,True
BRAV3,-1.1744,0.6845,False,-8.7224,0.0,True
BRKM3,-5.7542,0.0,True,-11.0843,0.0,True
BRKM5,-9.1091,0.0,True,-11.7748,0.0,True
BRKM6,-16.4426,0.0,True,-13.0797,0.0,True
BRSR3,-9.8252,0.0,True,-10.5641,0.0,True
BRSR5,-16.2479,0.0,True,-8.4797,0.0,True
BRSR6,-2.292,0.1746,False,-8.8569,0.0,True
BSLI3,-6.5056,0.0,True,-8.4018,0.0,True
CAMB3,-1.1069,0.7123,False,-9.0426,0.0,True
CAML3,-5.3094,0.0,True,-10.648,0.0,True
CASH3,-2.0691,0.2571,False,-5.1393,0.0,True
CBEE3,-11.9113,0.0,True,-8.1935,0.0,True
CEAB3,-6.9659,0.0,True,-8.2964,0.0,True
CEBR3,-7.0404,0.0,True,-9.9433,0.0,True
CEBR5,-6.0227,0.0,True,-12.5921,0.0,True
CEBR6,-4.4903,0.0002,True,-14.4836,0.0,True
CEDO3,-16.1245,0.0,True,-8.4676,0.0,True
CEDO4,-16.496,0.0,True,-8.7309,0.0,True
CEEB3,-6.8341,0.0,True,-8.9774,0.0,True
CEEB5,-16.3487,0.0,True,-8.3431,0.0,True
CGAS3,-10.9678,0.0,True,-8.0356,0.0,True
CGAS5,-12.2675,0.0,True,-8.4938,0.0,True
CGRA3,-14.878,0.0,True,-7.8069,0.0,True
CGRA4,-12.3576,0.0,True,-9.7464,0.0,True
CLSC4,-16.7748,0.0,True,-8.8578,0.0,True
CMIG3,-3.0077,0.0342,True,-11.7337,0.0,True
CMIG4,-1.5003,0.5333,False,-10.5731,0.0,True
CMIN3,-3.7985,0.0029,True,-9.0112,0.0,True
COCE5,-14.6016,0.0,True,-8.3824,0.0,True
COGN3,-3.2255,0.0186,True,-12.533,0.0,True
CPFE3,-3.054,0.0301,True,-7.0203,0.0,True
CPLE3,-1.8189,0.3711,False,-11.135,0.0,True
CRPG5,-7.5603,0.0,True,-7.649,0.0,True
CRPG6,-16.445,0.0,True,-7.6997,0.0,True
CSAN3,-2.9477,0.0401,True,-11.6619,0.0,True
CSED3,-3.189,0.0206,True,-8.8078,0.0,True
CSMG3,-2.2105,0.2025,False,-11.1759,0.0,True
CSNA3,-3.99,0.0015,True,-8.7728,0.0,True
CSUD3,-1.536,0.5157,False,-7.611,0.0,True
CTKA4,-16.3105,0.0,True,-8.4718,0.0,True
CTSA3,-11.0126,0.0,True,-8.7759,0.0,True
CTSA4,-4.8428,0.0,True,-11.8688,0.0,True
CURY3,-1.397,0.5837,False,-9.1144,0.0,True
CVCB3,-1.7667,0.3971,False,-7.8707,0.0,True
CYRE3,-1.7601,0.4004,False,-10.7057,0.0,True
DASA3,-7.3735,0.0,True,-28.5042,0.0,True
DEXP3,-3.1662,0.022,True,-5.5352,0.0,True
DEXP4,-9.1966,0.0,True,-8.6189,0.0,True
DIRR3,-2.2226,0.1981,False,-7.2214,0.0,True
DMVF3,-4.0864,0.001,True,-8.8895,0.0,True
DOHL3,-16.1747,0.0,True,-8.4676,0.0,True
DOHL4,-7.2121,0.0,True,-7.143,0.0,True
DXCO3,-3.1623,0.0223,True,-9.3885,0.0,True
EALT3,-6.1638,0.0,True,-9.0039,0.0,True
EALT4,-6.5574,0.0,True,-8.0246,0.0,True
ECOR3,-8.994,0.0,True,-6.9107,0.0,True
EGIE3,-6.7105,0.0,True,-10.8585,0.0,True
EKTR3,-6.1319,0.0,True,-10.3514,0.0,True
EKTR4,-6.1546,0.0,True,-11.9401,0.0,True
EMAE4,-12.1279,0.0,True,-8.5563,0.0,True
ENEV3,-4.0982,0.001,True,-7.5713,0.0,True
ENGI11,-10.0223,0.0,True,-9.5561,0.0,True
ENGI3,-4.2317,0.0006,True,-8.457,0.0,True
ENGI4,-5.8828,0.0,True,-8.0036,0.0,True
ENJU3,-2.8658,0.0495,True,-13.0425,0.0,True
ENMT3,-2.1849,0.2118,False,-10.8955,0.0,True
EPAR3,-7.3669,0.0,True,-6.7854,0.0,True
EQMA3B,-16.1245,0.0,True,-8.4676,0.0,True
EQPA3,-4.5737,0.0001,True,-8.8332,0.0,True
EQTL3,-3.8111,0.0028,True,-8.3522,0.0,True
ESPA3,-2.2438,0.1907,False,-10.3847,0.0,True
ESTR4,-16.1844,0.0,True,-8.4676,0.0,True
ETER3,-4.3915,0.0003,True,-7.2255,0.0,True
EUCA3,-10.1472,0.0,True,-10.2882,0.0,True
EUCA4,-4.6361,0.0001,True,-8.7045,0.0,True
EVEN3,-5.2416,0.0,True,-6.2719,0.0,True
EZTC3,-2.0702,0.2567,False,-8.9452,0.0,True
FESA3,-14.8401,0.0,True,-8.9503,0.0,True
FESA4,-2.2411,0.1917,False,-5.832,0.0,True
FHER3,-3.1543,0.0228,True,-4.7157,0.0001,True
FICT3,0.4767,0.9841,False,-0.5439,0.8832,False
FIGE3,-16.2307,0.0,True,-7.4294,0.0,True
FLRY3,-4.6555,0.0001,True,-8.118,0.0,True
FRAS3,-5.5086,0.0,True,-10.8378,0.0,True
GEPA3,-16.2424,0.0,True,-8.4676,0.0,True
GEPA4,-3.4303,0.01,True,-11.162,0.0,True
GFSA3,-9.0711,0.0,True,-8.5544,0.0,True
GGBR3,-2.8338,0.0536,False,-7.9723,0.0,True
GGBR4,-1.8224,0.3694,False,-8.1466,0.0,True
GMAT3,-3.9159,0.0019,True,-7.8844,0.0,True
GOAU3,-2.1099,0.2406,False,-10.1346,0.0,True
GOAU4,-2.3198,0.1657,False,-5.6337,0.0,True
GRND3,-3.3695,0.012,True,-9.3156,0.0,True
GSHP3,-16.1874,0.0,True,-27.7669,0.0,True
HAGA3,-11.2678,0.0,True,-7.5556,0.0,True
HAGA4,-8.0975,0.0,True,-4.0859,0.001,True
HAPV3,-5.4842,0.0,True,-9.5343,0.0,True
HBOR3,-3.5767,0.0062,True,-9.9835,0.0,True
HBRE3,-1.8135,0.3738,False,-8.0268,0.0,True
HBSA3,-2.009,0.2827,False,-8.831,0.0,True
HBTS5,-16.3548,0.0,True,-8.8808,0.0,True
HETA4,-10.7834,0.0,True,-12.1327,0.0,True
HOOT4,-7.0392,0.0,True,-5.3134,0.0,True
HYPE3,-10.6028,0.0,True,-7.5408,0.0,True
INEP3,-1.3035,0.6276,False,-9.5041,0.0,True
INEP4,-1.429,0.5683,False,-5.4181,0.0,True
INTB3,-4.9502,0.0,True,-10.2811,0.0,True
IRBR3,-1.2674,0.6439,False,-6.4178,0.0,True
ISAE3,-2.085,0.2506,False,-5.4185,0.0,True
ISAE4,-1.2269,0.6619,False,-3.9742,0.0016,True
ITSA3,-6.5374,0.0,True,-7.8177,0.0,True
ITSA4,-3.4763,0.0086,True,-5.8184,0.0,True
ITUB3,-1.4518,0.5572,False,-8.6891,0.0,True
ITUB4,-3.2907,0.0153,True,-10.0477,0.0,True
JALL3,-2.4638,0.1245,False,-6.7103,0.0,True
JFEN3,-2.9067,0.0446,True,-9.9476,0.0,True
JHSF3,-3.0092,0.034,True,-9.7936,0.0,True
JSLG3,-4.3705,0.0003,True,-9.9836,0.0,True
KEPL3,-1.5055,0.5308,False,-5.119,0.0,True
KLBN11,-2.4006,0.1416,False,-10.9961,0.0,True
KLBN3,-1.7901,0.3854,False,-11.5883,0.0,True
KLBN4,-1.8871,0.3382,False,-10.4572,0.0,True
